Year,Series,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,GeoCode,Value
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,,NG,120
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",Urban,,,,,,NG,59
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",Rural,,,,,,NG,154
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Poorest,,,,,NG,199
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Second,,,,,NG,171
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Middle,,,,,NG,131
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Fourth,,,,,NG,79
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Richest,,,,,NG,35
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,North  Central,,,,NGNCZ06,91
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,North East,,,,NGNEZ05,146
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,North West,,,,NGNWZ04,176
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,South East,,,,NGSEZ03,38
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,South South,,,,NGSSZ02,53
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,South West,,,,NGSWZ01,43
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Pre-primary or none,,,NG,228
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Non- Formal,,,NG,232
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Primary,,,NG,184
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Senior secondary,,,NG,51
2018,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,Higher/tertiary,,,NG,9
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Hausa,,NG,173
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Igbo,,NG,38
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Yoruba,,NG,40
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,Other ethnicity,,NG,85
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Abia,NGAB01,37
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Adamawa,NGAD02,113
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Akwa Ibom,NGAK03,67
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Anambra,NGAN04,40
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Bauchi,NGBA05,186
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Bayelsa,NGBY06,78
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Benue,NGBE07,79
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Borno,NGBO08,128
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Cross River,NGXR09,68
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Delta,NGDE10,57
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ebonyi,NGEB11,53
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Edo,NGED12,42
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ekiti,NGEK13,60
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Enugu,NGEN14,23
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Gombe,NGGO15,181
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Imo,NGIM16,36
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Jigawa,NGJI17,186
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kaduna,NGKD18,134
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kano,NGKN19,169
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Katsina,NGKT20,218
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kebbi,NGKE21,157
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kogi,NGKO22,36
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Kwara,NGKW23,70
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Lagos,NGLA24,21
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Nasarawa,NGNA25,101
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Niger,NGNI26,138
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ogun,NGOG27,50
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Ondo,NGON28,47
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Osun,NGOS29,57
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Oyo,NGOY30,54
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Plateau,NGPL31,94
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Rivers,NGRI32,18
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Sokoto,NGSO33,174
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Taraba,NGTA34,81
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Yobe,NGYO35,159
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Zamfara,NGZA36,208
2017,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,Federal Capital Territory,NGFC37,39
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,,,,,NG,75
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",Urban,,,,,,NG,32
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",Rural,,,,,,NG,108
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Poorest,,,,,NG,140
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Second,,,,,NG,125
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Middle,,,,,NG,60
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Fourth,,,,,NG,42
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,Richest,,,,,NG,17
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,North  Central,,,,NGNCZ06,61
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,North East,,,,NGNEZ05,112
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,North West,,,,NGNWZ04,118
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,South East,,,,NGSEZ03,29
2021,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",,,South South,,,,NGSSZ02,46
